id,eigenkapital_2014,loehne_und_gehaelter_2014,gesamtbezuege_2014,anzahl_vorstaende_2014,jahresueberschuss_2014,anmerkungen_2014,eigenkapital_2013,loehne_und_gehaelter_2013,gesamtbezuege_2013,anzahl_vorstaende_2013,jahresueberschuss_2013,anmerkungen_2013,sparkasse,vergebene_kredite_2014,notleidende_kredite_2014,npl_quote_2014,vergebene_unternehmenskredite_2014,notleidende_unternehmenskredite_2014,npl_quote_unternehmen_2014,vergebene_privatkredite_2014,notleidende_privatkredite_2014,npl_quote_privat_2014,vergebene_kredite_2013,notleidende_kredite_2013,npl_quote_2013,vergebene_unternehmenskredite_2013,notleidende_unternehmenskredite_2013,npl_quote_unternehmen_2013,vergebene_privatkredite_2013,notleidende_privatkredite_2013,npl_quote_privat_2013,mitarbeiter_2013,mitarbeiter_2014,bilanzsumme_2013,bilanzsumme_2014,verband,state
262,54863753.0,9597595.0,,2.0,849482.0,,54628230.0,8981777.0,,2.0,838419.0,Unfassbar große Summe Fond zugeführt!,Stadtsparkasse Rheine,1524700000.0,11600000.0,1.21,309300000.0,4700000.0,1.52,568600000.0,6900000.0,1.21,,,,,,,,,,242.0,245.0,1289900000.0,1341100000.0,SVWL,Nordrhein-Westfalen
263,97226963.0,14158207.0,,2.0,2383079.0,,94913576.0,13662053.0,,2.0,2389075.0,69.692 Euro werden Stammkapital zugeführt (?),Kreissparkasse Birkenfeld,1709230000.0,36940000.0,2.5,637339000.0,24612000.0,3.86,493193000.0,12328000.0,2.5,,,,,,,,,,404.0,399.0,1272400000.0,1308180195.0,SVRP,Rheinland-Pfalz
269,96871060.0,10111399.0,,2.0,433169.0,,96437891.0,9315514.0,,2.0,464456.0,,Sparkasse Regen-Viechtach,1429700000.0,7353000.0,0.47,434400000.0,5649000.0,1.3,346200000.0,1636000.0,0.47,,,,,,,,,,295.0,299.0,1228034041.0,1258790922.0,SVB,Bayern
276,61413311.0,14150109.0,,2.0,2341780.0,,59571531.0,13016960.0,,2.0,2035418.0,,Sparkasse Neubrandenburg-Demmin,1412900000.0,11512000.0,0.8,252200000.0,9261000.0,3.67,279800000.0,2251000.0,0.8,,,,,,,,,,320.0,313.0,1156500000.0,1213000000.0,OSV,Mecklenburg-Vorpommern
278,107547076.0,13392350.0,,3.0,2931190.0,,104615886.0,13005545.0,,3.0,3620021.0,,Kreissparkasse Northeim,1490274000.0,29564000.0,1.25,678210000.0,25077000.0,3.7,359212000.0,4487000.0,1.25,,,,,,,,,,373.0,364.0,1166260000.0,1195129000.0,SVN,Niedersachsen
282,93402911.0,11242274.0,,2.0,2323006.0,,91579905.0,10763484.0,,2.0,2257167.0,Spenden enthalten Stiftungsaufwendungen,Kreissparkasse Melle,1394200000.0,24200000.0,1.21,639100000.0,18800000.0,2.94,446100000.0,5400000.0,1.21,,,,,,,,,,282.0,280.0,1127800000.0,1133500000.0,SVN,Niedersachsen
290,45432598.0,11587865.0,,2.0,835419.0,,44597179.0,11365833.0,,2.0,692608.0,,Sparkasse Mecklenburg-Nordwest,1463296900.0,25155000.0,2.14,180315400.0,16520000.0,9.16,402750100.0,8635000.0,2.14,,,,,,,,,,289.0,280.0,1086700000.0,1132800000.0,OSV,Mecklenburg-Vorpommern
295,77176750.0,11865814.0,,2.0,2556715.0,,74620035.0,11539717.0,,2.0,2547592.0,Spenden incl. Stiftung,Kreissparkasse Soltau,1268100000.0,26200000.0,1.15,460300000.0,21300000.0,4.63,426700000.0,4900000.0,1.15,,,,,,,,,,322.0,311.0,1012200000.0,1000200000.0,SVN,Niedersachsen
297,43344009.0,8959187.0,,2.0,951054.0,,42393000.0,8619000.0,,2.0,940784.0,,Sparkasse Hochschwarzwald,1219000000.0,22100000.0,0.85,519000000.0,19500000.0,3.76,306000000.0,2600000.0,0.85,,,,,,,,,,243.0,249.0,1044360000.0,1078300000.0,SVBW,Baden-Württemberg
299,49349009.0,9796711.0,,2.0,1531680.0,,47787248.0,9957762.0,,2.0,1425709.0,,Stadtsparkasse Kaiserslautern,1241403000.0,11356000.0,0.85,451283000.0,8042000.0,1.78,391137000.0,3314000.0,0.85,,,,,,,,,,266.0,253.0,1023700000.0,1051000000.0,SVRP,Rheinland-Pfalz
